,Company,PriceRs.,Day HighRs.
0,"
Enviro Infra Engine.
",380.50,392.00
1,"
Swiggy
",586.00,613.35
2,"
Zen Technologies
",2396.10,2502.45
3,"
One97 Communications
",1014.75,1063.00
4,"
Piccadily Agro Inds
",981.80,994.15
5,"
Dixon Technologies
",18934.35,19149.80
6,"
Sagility India
",43.19,43.91
7,"
Anant Raj
",805.00,844.00
8,"
Kaynes Technology
",7243.85,7346.30
9,"
Choice International
",549.00,568.85
10,"
Rajesh Power Service
",1122.90,1166.70
11,"
Afcons Infra
",540.25,567.50
12,"
PC Jeweller
",19.25,19.25
13,"
Kalyani Steels
",1242.55,1278.90
14,"
Siyaram Silk Mills
",1117.85,1175.00
15,"
Enviro Infra Engine.
",380.50,392.00
16,"
Swiggy
",586.00,613.35
17,"
Zen Technologies
",2396.10,2502.45
18,"
One97 Communications
",1014.75,1063.00
19,"
Piccadily Agro Inds
",981.80,994.15
20,"
Dixon Technologies
",18934.35,19149.80
21,"
Sagility India
",43.19,43.91
22,"
Anant Raj
",805.00,844.00
23,"
Kaynes Technology
",7243.85,7346.30
24,"
Choice International
",549.00,568.85
25,"
Rajesh Power Service
",1122.90,1166.70
26,"
Afcons Infra
",540.25,567.50
27,"
PC Jeweller
",19.25,19.25
28,"
Kalyani Steels
",1242.55,1278.90
29,"
Siyaram Silk Mills
",1117.85,1175.00
